block_name,r,g,b
minecraft:beetroots,74,125,38
minecraft:bell,128,99,42
minecraft:big_dripleaf,98,124,48
minecraft:big_dripleaf_stem,91,115,46
minecraft:birch_button,192,175,121
minecraft:birch_door,214,202,160
minecraft:birch_fence,192,175,121
minecraft:birch_fence_gate,192,175,121
minecraft:birch_hanging_sign,197,176,118
minecraft:birch_leaves,131,129,130
minecraft:birch_log,209,203,185
minecraft:birch_planks,192,175,121
minecraft:birch_pressure_plate,192,175,121
minecraft:birch_sapling,128,161,80
minecraft:birch_shelf,186,166,112
minecraft:birch_sign,192,175,121
minecraft:birch_slab,192,175,121
minecraft:birch_stairs,192,175,121
minecraft:birch_trapdoor,207,194,157
minecraft:birch_wall_hanging_sign,197,176,118
minecraft:birch_wall_sign,192,175,121
minecraft:birch_wood,217,215,210
minecraft:black_banner,162,131,79
minecraft:black_bed,162,131,79
minecraft:black_candle,56,43,55
minecraft:black_candle_cake,169,126,109
minecraft:black_carpet,21,21,26
minecraft:black_concrete,8,10,15
minecraft:black_concrete_powder,25,27,32
minecraft:black_glazed_terracotta,68,30,32
minecraft:black_shulker_box,25,25,30
minecraft:black_stained_glass,25,25,25
minecraft:black_stained_glass_pane,25,25,25
minecraft:black_terracotta,37,23,16
minecraft:black_wall_banner,162,131,79
minecraft:black_wool,21,21,26
minecraft:blackstone,42,36,41
minecraft:blackstone_slab,42,36,41
minecraft:blackstone_stairs,42,36,42
minecraft:blackstone_wall,42,36,41
minecraft:blast_furnace,99,98,98
minecraft:blue_banner,162,131,79
minecraft:blue_bed,162,131,79
minecraft:blue_candle,61,80,170
minecraft:blue_candle_cake,170,134,132
minecraft:blue_carpet,53,57,157
minecraft:blue_concrete,45,47,143
minecraft:blue_concrete_powder,70,73,167
minecraft:blue_glazed_terracotta,47,65,139
minecraft:blue_ice,116,168,253
minecraft:blue_orchid,47,162,168
minecraft:blue_shulker_box,44,46,140
minecraft:blue_stained_glass,51,76,178
minecraft:blue_stained_glass_pane,50,75,176
minecraft:blue_terracotta,74,60,91
minecraft:blue_wall_banner,162,131,79
minecraft:blue_wool,53,57,157
minecraft:bone_block,223,219,198
minecraft:bookshelf,132,107,66
minecraft:brain_coral,198,85,152
minecraft:brain_coral_block,207,91,159
minecraft:brain_coral_fan,203,84,154
minecraft:brain_coral_wall_fan,203,84,154
minecraft:brewing_stand,122,101,83
minecraft:brick_slab,151,98,83
minecraft:brick_stairs,151,98,83
minecraft:brick_wall,151,98,83
minecraft:bricks,151,98,83
minecraft:brown_banner,162,131,79
minecraft:brown_bed,162,131,79
minecraft:brown_candle,130,83,46
minecraft:brown_candle_cake,184,134,108
minecraft:brown_carpet,114,72,41
minecraft:brown_concrete,96,60,32
minecraft:brown_concrete_powder,126,85,54
minecraft:brown_glazed_terracotta,120,106,86
minecraft:brown_mushroom,154,117,92
minecraft:brown_mushroom_block,176,141,100
minecraft:brown_shulker_box,106,66,36
minecraft:brown_stained_glass,102,76,51
minecraft:brown_stained_glass_pane,101,75,50
minecraft:brown_terracotta,77,51,36
minecraft:brown_wall_banner,162,131,79
minecraft:brown_wool,114,72,41
minecraft:bubble_column,177,177,177
minecraft:bubble_coral,161,24,160
minecraft:bubble_coral_block,165,26,162
minecraft:bubble_coral_fan,160,33,159
minecraft:bubble_coral_wall_fan,160,33,159
minecraft:budding_amethyst,132,96,187
minecraft:bush,120,121,120
minecraft:cactus,102,139,55
minecraft:cactus_flower,210,121,135
minecraft:cake,186,136,112
minecraft:calcite,223,224,221
minecraft:calibrated_sculk_sensor,48,73,93
minecraft:campfire,108,91,64
minecraft:candle,234,206,164
minecraft:candle_cake,204,159,131
minecraft:carrots,56,116,39
minecraft:cartography_table,75,53,32
minecraft:carved_pumpkin,184,108,22
minecraft:cauldron,62,62,64
minecraft:cave_air,,,
minecraft:cave_vines,98,111,42
minecraft:cave_vines_plant,96,104,39
minecraft:chain_command_block,131,161,147
minecraft:cherry_button,227,179,173
minecraft:cherry_door,224,174,168
minecraft:cherry_fence,227,179,173
minecraft:cherry_fence_gate,227,179,173
minecraft:cherry_hanging_sign,215,145,149
minecraft:cherry_leaves,229,173,194
minecraft:cherry_log,98,69,75
minecraft:cherry_planks,227,179,173
minecraft:cherry_pressure_plate,227,179,173
minecraft:cherry_sapling,164,118,143
minecraft:cherry_shelf,209,138,139
minecraft:cherry_sign,227,179,173
minecraft:cherry_slab,227,179,173
minecraft:cherry_stairs,227,179,173
minecraft:cherry_trapdoor,226,179,172
minecraft:cherry_wall_hanging_sign,215,145,149
minecraft:cherry_wall_sign,227,179,173
minecraft:cherry_wood,55,33,44
minecraft:chest,162,131,79
minecraft:chipped_anvil,70,70,70
minecraft:chiseled_bookshelf,113,89,60
minecraft:chiseled_copper,184,101,74
minecraft:chiseled_deepslate,54,54,55
minecraft:chiseled_nether_bricks,46,23,27
minecraft:chiseled_polished_blackstone,54,49,57
minecraft:chiseled_quartz_block,232,227,218
minecraft:chiseled_red_sandstone,182,97,29
minecraft:chiseled_resin_bricks,201,84,25
minecraft:chiseled_sandstone,219,207,160
minecraft:chiseled_stone_bricks,120,119,120
minecraft:chiseled_tuff,91,96,88
minecraft:chiseled_tuff_bricks,103,107,100
minecraft:chorus_flower,126,93,126
minecraft:chorus_plant,94,57,94
minecraft:clay,161,166,179
minecraft:closed_eyeblossom,108,98,101
minecraft:coal_block,16,16,16
minecraft:coal_ore,106,106,105
minecraft:coarse_dirt,119,86,59
minecraft:cobbled_deepslate,77,77,81
minecraft:cobbled_deepslate_slab,77,77,81
minecraft:cobbled_deepslate_stairs,77,77,81
minecraft:cobbled_deepslate_wall,77,77,81
minecraft:cobblestone,128,127,128
minecraft:cobblestone_slab,128,127,128
minecraft:cobblestone_stairs,128,127,128
minecraft:cobblestone_wall,128,127,128
minecraft:cobweb,229,233,234
minecraft:cocoa,144,113,53
minecraft:command_block,177,133,107
minecraft:comparator,157,122,113
minecraft:composter,98,66,28
minecraft:conduit,160,140,113
minecraft:copper_bars,156,81,55
minecraft:copper_block,192,108,80
minecraft:copper_bulb,186,118,82
minecraft:copper_chain,152,79,55
minecraft:copper_chest,192,108,80
minecraft:copper_door,187,106,80
minecraft:copper_golem_statue,192,108,80
minecraft:copper_grate,192,108,79
minecraft:copper_lantern,158,108,76
minecraft:copper_ore,125,126,120
minecraft:copper_torch,117,110,73
minecraft:copper_trapdoor,191,106,80
minecraft:copper_wall_torch,117,110,73
minecraft:cornflower,80,121,147
minecraft:cracked_deepslate_bricks,65,65,65
minecraft:cracked_deepslate_tiles,53,53,53
minecraft:cracked_nether_bricks,40,20,24
minecraft:cracked_polished_blackstone_bricks,44,38,44
minecraft:cracked_stone_bricks,118,118,118
minecraft:crafter,115,104,92
minecraft:crafting_table,132,104,65
minecraft:creaking_heart,111,72,52
minecraft:creeper_head,81,62,51
minecraft:creeper_wall_head,81,62,51
minecraft:crimson_button,101,49,71
minecraft:crimson_door,114,55,79
minecraft:crimson_fence,101,49,71
minecraft:crimson_fence_gate,101,49,71
minecraft:crimson_fungus,141,44,30
minecraft:crimson_hanging_sign,137,57,90
minecraft:crimson_hyphae,93,26,30
minecraft:crimson_nylium,110,30,30
minecraft:crimson_planks,101,49,71
minecraft:crimson_pressure_plate,101,49,71
minecraft:crimson_roots,126,8,42
minecraft:crimson_shelf,133,54,86
minecraft:crimson_sign,101,49,71
minecraft:crimson_slab,101,49,71
minecraft:crimson_stairs,101,49,71
minecraft:crimson_stem,100,34,43
minecraft:crimson_trapdoor,104,51,72
minecraft:crimson_wall_hanging_sign,137,57,90
minecraft:crimson_wall_sign,101,49,71
minecraft:crying_obsidian,33,10,60
minecraft:cut_copper,191,107,81
minecraft:cut_copper_slab,191,107,81
minecraft:cut_copper_stairs,191,107,81
minecraft:cut_red_sandstone,186,101,32
minecraft:cut_red_sandstone_slab,186,100,32
minecraft:cut_sandstone,220,209,163
minecraft:cut_sandstone_slab,220,209,164
minecraft:cyan_banner,162,131,79
minecraft:cyan_bed,162,131,79
minecraft:cyan_candle,30,136,130
minecraft:cyan_candle_cake,164,145,124
minecraft:cyan_carpet,21,138,145
minecraft:cyan_concrete,21,119,136
minecraft:cyan_concrete_powder,37,148,157
minecraft:cyan_glazed_terracotta,52,119,125
minecraft:cyan_shulker_box,20,121,135
minecraft:cyan_stained_glass,76,127,153
minecraft:cyan_stained_glass_pane,75,126,151
minecraft:cyan_terracotta,87,91,91
minecraft:cyan_wall_banner,162,131,79
minecraft:cyan_wool,21,138,145
minecraft:damaged_anvil,70,70,70
minecraft:dandelion,148,172,43
minecraft:dark_oak_button,67,43,20
minecraft:dark_oak_door,75,50,24
minecraft:dark_oak_fence,67,43,20
minecraft:dark_oak_fence_gate,67,43,20
minecraft:dark_oak_hanging_sign,73,57,36
minecraft:dark_oak_leaves,151,151,151
minecraft:dark_oak_log,63,46,25
minecraft:dark_oak_planks,67,43,20
minecraft:dark_oak_pressure_plate,67,43,20
minecraft:dark_oak_sapling,61,91,31
minecraft:dark_oak_shelf,70,54,34
minecraft:dark_oak_sign,67,43,20
minecraft:dark_oak_slab,67,43,20
minecraft:dark_oak_stairs,67,43,20
minecraft:dark_oak_trapdoor,75,50,23
minecraft:dark_oak_wall_hanging_sign,73,57,36
minecraft:dark_oak_wall_sign,67,43,20
minecraft:dark_oak_wood,60,47,26
minecraft:dark_prismarine,52,92,76
minecraft:dark_prismarine_slab,52,92,76
minecraft:dark_prismarine_stairs,52,92,76
minecraft:daylight_detector,101,93,81
minecraft:dead_brain_coral,134,125,121
minecraft:dead_brain_coral_block,124,118,114
minecraft:dead_brain_coral_fan,133,125,121
minecraft:dead_brain_coral_wall_fan,133,125,121
minecraft:dead_bubble_coral,133,125,121
minecraft:dead_bubble_coral_block,132,124,119
minecraft:dead_bubble_coral_fan,141,135,130
minecraft:dead_bubble_coral_wall_fan,141,135,130
minecraft:dead_bush,107,79,41
minecraft:dead_fire_coral,137,128,124
minecraft:dead_fire_coral_block,132,124,120
minecraft:dead_fire_coral_fan,125,118,115
minecraft:dead_fire_coral_wall_fan,125,118,115
minecraft:dead_horn_coral,143,135,130
minecraft:dead_horn_coral_block,134,126,122
minecraft:dead_horn_coral_fan,134,126,121
minecraft:dead_horn_coral_wall_fan,134,126,121
minecraft:dead_tube_coral,118,111,108
minecraft:dead_tube_coral_block,130,123,120
minecraft:dead_tube_coral_fan,128,122,118
minecraft:dead_tube_coral_wall_fan,128,122,118
minecraft:decorated_pot,152,94,68
minecraft:deepslate,82,82,85
minecraft:deepslate_brick_slab,71,71,71
minecraft:deepslate_brick_stairs,71,71,71
minecraft:deepslate_brick_wall,71,71,71
minecraft:deepslate_bricks,71,71,71
minecraft:deepslate_coal_ore,74,74,76
minecraft:deepslate_copper_ore,92,93,89
minecraft:deepslate_diamond_ore,83,106,107
minecraft:deepslate_emerald_ore,78,104,88
minecraft:deepslate_gold_ore,115,103,78
minecraft:deepslate_iron_ore,107,100,95
minecraft:deepslate_lapis_ore,80,91,115
minecraft:deepslate_redstone_ore,105,73,75
minecraft:deepslate_tile_slab,55,55,55
minecraft:deepslate_tile_stairs,55,55,55
minecraft:deepslate_tile_wall,55,55,55
minecraft:deepslate_tiles,55,55,55
minecraft:detector_rail,130,104,90
minecraft:diamond_block,98,237,228
minecraft:diamond_ore,121,141,141
minecraft:diorite,189,188,189
minecraft:diorite_slab,189,188,189
minecraft:diorite_stairs,189,188,189
minecraft:diorite_wall,189,188,189
minecraft:dirt,134,96,67
minecraft:dirt_path,138,104,66
minecraft:dispenser,114,114,114
minecraft:dragon_egg,13,9,16
minecraft:dragon_head,81,62,51
minecraft:dragon_wall_head,81,62,51
minecraft:dried_ghast,190,182,182
minecraft:dried_kelp_block,41,52,33
minecraft:dripstone_block,134,108,93
minecraft:dropper,114,114,114
minecraft:emerald_block,42,203,88
minecraft:emerald_ore,108,136,116
minecraft:enchanting_table,52,36,48
minecraft:end_gateway,15,11,25
minecraft:end_portal,15,11,25
minecraft:end_portal_frame,140,157,118
minecraft:end_rod,208,198,187
minecraft:end_stone,220,223,158
minecraft:end_stone_brick_slab,218,224,162
minecraft:end_stone_brick_stairs,218,224,162
minecraft:end_stone_brick_wall,218,224,162
minecraft:end_stone_bricks,218,224,162
minecraft:ender_chest,15,11,25
minecraft:exposed_chiseled_copper,155,119,101
minecraft:exposed_copper,161,126,104
minecraft:exposed_copper_bars,134,108,89
minecraft:exposed_copper_bulb,165,126,94
minecraft:exposed_copper_chain,126,102,84
minecraft:exposed_copper_chest,161,126,104
minecraft:exposed_copper_door,158,120,103
minecraft:exposed_copper_golem_statue,161,126,104
minecraft:exposed_copper_grate,162,126,105
minecraft:exposed_copper_lantern,148,131,105
minecraft:exposed_copper_trapdoor,161,125,105
minecraft:exposed_cut_copper,155,122,101
minecraft:exposed_cut_copper_slab,155,122,101
minecraft:exposed_cut_copper_stairs,155,122,101
minecraft:exposed_lightning_rod,207,188,180
minecraft:farmland,134,96,66
minecraft:fern,124,125,124
minecraft:fire,212,139,52
minecraft:fire_coral,167,38,47
minecraft:fire_coral_block,164,35,47
minecraft:fire_coral_fan,159,35,46
minecraft:fire_coral_wall_fan,159,35,46
minecraft:firefly_bush,123,119,82
minecraft:fletching_table,185,165,121
minecraft:flower_pot,127,78,58
minecraft:flowering_azalea,102,114,56
minecraft:flowering_azalea_leaves,100,111,61
minecraft:frogspawn,110,95,87
minecraft:frosted_ice,138,180,252
minecraft:furnace,113,111,109
minecraft:gilded_blackstone,56,43,38
minecraft:glass,176,214,219
minecraft:glass_pane,174,213,218
minecraft:glow_item_frame,177,151,102
minecraft:glow_lichen,112,131,122
minecraft:glowstone,172,131,84
minecraft:gold_block,246,208,62
minecraft:gold_ore,145,134,107
minecraft:golden_dandelion,160,102,37
minecraft:granite,149,103,86
minecraft:granite_slab,149,103,86
minecraft:granite_stairs,149,103,86
minecraft:granite_wall,149,103,86
minecraft:grass_block,144,125,106
minecraft:gravel,132,127,127
minecraft:gray_banner,162,131,79
minecraft:gray_bed,162,131,79
minecraft:gray_candle,99,108,102
minecraft:gray_candle_cake,177,139,119
minecraft:gray_carpet,63,68,72
minecraft:gray_concrete,55,58,62
minecraft:gray_concrete_powder,77,81,85
minecraft:gray_glazed_terracotta,83,90,94
minecraft:gray_shulker_box,55,59,62
minecraft:gray_stained_glass,76,76,76
minecraft:gray_stained_glass_pane,75,75,75
minecraft:gray_terracotta,58,42,36
minecraft:gray_wall_banner,162,131,79
minecraft:gray_wool,63,68,72
minecraft:green_banner,162,131,79
minecraft:green_bed,162,131,79
minecraft:green_candle,87,106,22
minecraft:green_candle_cake,175,139,102
minecraft:green_carpet,85,110,28
minecraft:green_concrete,73,91,36
minecraft:green_concrete_powder,97,119,45
minecraft:green_glazed_terracotta,117,142,67
minecraft:green_shulker_box,79,101,32
minecraft:green_stained_glass,102,127,51
minecraft:green_stained_glass_pane,101,126,50
minecraft:green_terracotta,76,83,42
minecraft:green_wall_banner,162,131,79
minecraft:green_wool,85,110,28
minecraft:grindstone,111,103,94
minecraft:hanging_roots,161,115,92
minecraft:hay_block,166,137,29
minecraft:heavy_core,82,86,94
minecraft:heavy_weighted_pressure_plate,220,220,220
minecraft:honey_block,248,176,46
minecraft:honeycomb_block,229,148,30
minecraft:hopper,65,64,66
minecraft:horn_coral,209,186,63
minecraft:horn_coral_block,216,200,66
minecraft:horn_coral_fan,206,183,61
minecraft:horn_coral_wall_fan,206,183,61
minecraft:ice,146,184,254
minecraft:infested_chiseled_stone_bricks,120,119,120
minecraft:infested_cobblestone,128,127,128
minecraft:infested_cracked_stone_bricks,118,118,118
minecraft:infested_deepslate,82,82,85
minecraft:infested_mossy_stone_bricks,115,121,105
minecraft:infested_stone,126,126,126
minecraft:infested_stone_bricks,122,122,122
minecraft:iron_bars,137,139,136
minecraft:iron_block,220,220,220
minecraft:iron_chain,51,58,74
minecraft:iron_door,195,194,194
minecraft:iron_ore,136,129,123
minecraft:iron_trapdoor,203,202,202
minecraft:item_frame,167,139,95
minecraft:jack_o_lantern,202,127,32
minecraft:jigsaw,61,52,62
minecraft:jukebox,90,60,42
minecraft:jungle_button,160,115,81
minecraft:jungle_door,161,117,82
minecraft:jungle_fence,160,115,81
minecraft:jungle_fence_gate,160,115,81
minecraft:jungle_hanging_sign,171,133,85
minecraft:jungle_leaves,157,154,144
minecraft:jungle_log,107,82,40
minecraft:jungle_planks,160,115,81
minecraft:jungle_pressure_plate,160,115,81
minecraft:jungle_sapling,48,81,17
minecraft:jungle_shelf,164,128,80
minecraft:jungle_sign,160,115,81
minecraft:jungle_slab,160,115,81
minecraft:jungle_stairs,160,115,81
minecraft:jungle_trapdoor,153,110,77
minecraft:jungle_wall_hanging_sign,171,133,85
minecraft:jungle_wall_sign,160,115,81
minecraft:jungle_wood,85,68,25
minecraft:kelp,87,140,45
minecraft:kelp_plant,87,130,43
minecraft:ladder,125,97,55
minecraft:lantern,106,91,84
minecraft:lapis_block,31,67,140
minecraft:lapis_ore,107,118,141
minecraft:large_amethyst_bud,161,126,203
minecraft:large_fern,128,129,128
minecraft:lava,212,90,18
minecraft:lava_cauldron,87,66,57
minecraft:leaf_litter,171,171,171
minecraft:lectern,155,121,71
minecraft:lever,122,116,108
minecraft:light,194,166,118
minecraft:light_blue_banner,162,131,79
minecraft:light_blue_bed,162,131,79
minecraft:light_blue_candle,52,150,200
minecraft:light_blue_candle_cake,168,148,138
minecraft:light_blue_carpet,58,175,217
minecraft:light_blue_concrete,36,137,199
minecraft:light_blue_concrete_powder,74,181,213
minecraft:light_blue_glazed_terracotta,95,165,209
minecraft:light_blue_shulker_box,49,164,212
minecraft:light_blue_stained_glass,102,153,216
minecraft:light_blue_stained_glass_pane,101,151,214
minecraft:light_blue_terracotta,113,109,138
minecraft:light_blue_wall_banner,162,131,79
minecraft:light_blue_wool,58,175,217
minecraft:light_gray_banner,162,131,79
minecraft:light_gray_bed,162,131,79
minecraft:light_gray_candle,135,134,119
minecraft:light_gray_candle_cake,185,145,122
minecraft:light_gray_carpet,142,142,135
minecraft:light_gray_concrete,125,125,115
minecraft:light_gray_concrete_powder,155,155,148
minecraft:light_gray_glazed_terracotta,144,166,168
minecraft:light_gray_shulker_box,124,124,115
minecraft:light_gray_stained_glass,153,153,153
minecraft:light_gray_stained_glass_pane,151,151,151
minecraft:light_gray_terracotta,135,107,98
minecraft:light_gray_wall_banner,162,131,79
minecraft:light_gray_wool,142,142,135
minecraft:light_weighted_pressure_plate,246,208,62
minecraft:lightning_rod,226,183,169
minecraft:lilac,146,124,137
minecraft:lily_of_the_valley,123,175,95
minecraft:lily_pad,134,134,134
minecraft:lime_banner,162,131,79
minecraft:lime_bed,162,131,79
minecraft:lime_candle,111,176,27
minecraft:lime_candle_cake,180,153,104
minecraft:lime_carpet,112,185,26
minecraft:lime_concrete,94,169,24
minecraft:lime_concrete_powder,125,189,42
minecraft:lime_glazed_terracotta,163,198,55
minecraft:lime_shulker_box,100,173,23
minecraft:lime_stained_glass,127,204,25
minecraft:lime_stained_glass_pane,126,202,25
minecraft:lime_terracotta,104,118,53
minecraft:lime_wall_banner,162,131,79
minecraft:lime_wool,112,185,26
minecraft:lodestone,128,130,133
minecraft:loom,133,102,72
minecraft:magenta_banner,162,131,79
minecraft:magenta_bed,162,131,79
minecraft:magenta_candle,172,58,158
minecraft:magenta_candle_cake,192,129,130
minecraft:magenta_carpet,190,69,180
minecraft:magenta_concrete,169,48,159
minecraft:magenta_concrete_powder,193,84,185
minecraft:magenta_glazed_terracotta,208,100,192
minecraft:magenta_shulker_box,174,54,164
minecraft:magenta_stained_glass,178,76,216
minecraft:magenta_stained_glass_pane,176,75,214
minecraft:magenta_terracotta,150,88,109
minecraft:magenta_wall_banner,162,131,79
minecraft:magenta_wool,190,69,180
minecraft:magma_block,143,63,32
minecraft:mangrove_button,118,54,49
minecraft:mangrove_door,112,48,46
minecraft:mangrove_fence,118,54,49
minecraft:mangrove_fence_gate,118,54,49
minecraft:mangrove_hanging_sign,120,54,48
minecraft:mangrove_leaves,130,129,129
minecraft:mangrove_log,90,61,41
minecraft:mangrove_planks,118,54,49
minecraft:mangrove_pressure_plate,118,54,49
minecraft:mangrove_propagule,102,155,77
minecraft:mangrove_roots,75,60,38
minecraft:mangrove_shelf,114,50,45
minecraft:mangrove_sign,118,54,49
minecraft:mangrove_slab,118,54,49
minecraft:mangrove_stairs,118,54,49
minecraft:mangrove_trapdoor,111,47,42
minecraft:mangrove_wall_hanging_sign,120,54,48
minecraft:mangrove_wall_sign,118,54,49
minecraft:mangrove_wood,84,67,41
minecraft:medium_amethyst_bud,158,120,202
minecraft:melon,113,146,30
minecraft:melon_stem,154,154,154
minecraft:moss_block,89,110,45
minecraft:moss_carpet,89,110,45
minecraft:mossy_cobblestone,110,118,95
minecraft:mossy_cobblestone_slab,110,118,95
minecraft:mossy_cobblestone_stairs,110,118,95
minecraft:mossy_cobblestone_wall,110,118,95
minecraft:mossy_stone_brick_slab,115,121,105
minecraft:mossy_stone_brick_stairs,115,121,105
minecraft:mossy_stone_brick_wall,115,121,105
minecraft:mossy_stone_bricks,115,121,105
minecraft:moving_piston,110,105,97
minecraft:mud,60,57,61
minecraft:mud_brick_slab,137,104,79
minecraft:mud_brick_stairs,137,104,79
minecraft:mud_brick_wall,137,104,79
minecraft:mud_bricks,137,104,79
minecraft:muddy_mangrove_roots,69,59,47
minecraft:mushroom_stem,202,184,153
minecraft:mycelium,125,100,85
minecraft:nether_brick_fence,44,22,26
minecraft:nether_brick_slab,44,22,26
minecraft:nether_brick_stairs,44,22,26
minecraft:nether_brick_wall,44,22,26
minecraft:nether_bricks,44,22,26
minecraft:nether_gold_ore,115,55,42
minecraft:nether_portal,87,11,191
minecraft:nether_quartz_ore,118,66,62
minecraft:nether_sprouts,20,151,133
minecraft:nether_wart,115,18,20
minecraft:nether_wart_block,115,3,2
minecraft:netherite_block,67,61,64
minecraft:netherrack,98,38,38
minecraft:note_block,89,59,41
minecraft:oak_button,162,131,79
minecraft:oak_door,140,110,64
minecraft:oak_fence,162,131,79
minecraft:oak_fence_gate,162,131,79
minecraft:oak_hanging_sign,177,144,86
minecraft:oak_leaves,144,144,144
minecraft:oak_log,123,97,58
minecraft:oak_planks,162,131,79
minecraft:oak_pressure_plate,162,131,79
minecraft:oak_sapling,78,107,41
minecraft:oak_shelf,161,130,76
minecraft:oak_sign,162,131,79
minecraft:oak_slab,162,131,79
minecraft:oak_stairs,162,131,79
minecraft:oak_trapdoor,125,99,57
minecraft:oak_wall_hanging_sign,177,144,86
minecraft:oak_wall_sign,162,131,79
minecraft:oak_wood,109,85,51
minecraft:observer,90,88,88
minecraft:obsidian,15,11,25
minecraft:ochre_froglight,247,237,190
minecraft:open_eyeblossom,168,129,98
minecraft:orange_banner,162,131,79
minecraft:orange_bed,162,131,79
minecraft:orange_candle,223,116,18
minecraft:orange_candle_cake,202,141,102
minecraft:orange_carpet,241,118,20
minecraft:orange_concrete,224,97,1
minecraft:orange_concrete_powder,227,132,32
minecraft:orange_glazed_terracotta,155,147,92
minecraft:orange_shulker_box,234,106,9
minecraft:orange_stained_glass,216,127,51
minecraft:orange_stained_glass_pane,214,126,50
minecraft:orange_terracotta,162,84,38
minecraft:orange_tulip,93,142,31
minecraft:orange_wall_banner,162,131,79
minecraft:orange_wool,241,118,20
minecraft:oxeye_daisy,179,202,143
minecraft:oxidized_chiseled_copper,84,162,132
minecraft:oxidized_copper,82,163,133
minecraft:oxidized_copper_bars,64,123,101
minecraft:oxidized_copper_bulb,103,142,106
minecraft:oxidized_copper_chain,62,118,99
minecraft:oxidized_copper_chest,82,163,133
minecraft:oxidized_copper_door,81,156,130
minecraft:oxidized_copper_golem_statue,82,163,133
minecraft:oxidized_copper_grate,82,161,131
minecraft:oxidized_copper_lantern,78,139,111
minecraft:oxidized_copper_trapdoor,84,161,132
minecraft:oxidized_cut_copper,80,154,126
minecraft:oxidized_cut_copper_slab,80,154,126
minecraft:oxidized_cut_copper_stairs,80,154,126
minecraft:oxidized_lightning_rod,167,204,192
minecraft:packed_ice,142,180,250
minecraft:packed_mud,142,107,80
minecraft:pale_hanging_moss,101,106,100
minecraft:pale_moss_block,107,112,105
minecraft:pale_moss_carpet,106,111,105
minecraft:pale_oak_button,228,218,216
minecraft:pale_oak_door,208,199,198
minecraft:pale_oak_fence,228,218,216
minecraft:pale_oak_fence_gate,228,218,216
minecraft:pale_oak_hanging_sign,246,238,237
minecraft:pale_oak_leaves,117,122,115
minecraft:pale_oak_log,125,115,113
minecraft:pale_oak_planks,228,218,216
minecraft:pale_oak_pressure_plate,228,218,216
minecraft:pale_oak_sapling,110,106,100
minecraft:pale_oak_shelf,237,228,226
minecraft:pale_oak_sign,228,218,216
minecraft:pale_oak_slab,228,218,216
minecraft:pale_oak_stairs,228,218,216
minecraft:pale_oak_trapdoor,230,220,219
minecraft:pale_oak_wall_hanging_sign,246,238,237
minecraft:pale_oak_wall_sign,228,218,216
minecraft:pale_oak_wood,88,78,75
minecraft:pearlescent_froglight,239,230,233
minecraft:peony,108,114,116
minecraft:petrified_oak_slab,162,131,79
minecraft:piglin_head,81,62,51
minecraft:piglin_wall_head,81,62,51
minecraft:pink_banner,162,131,79
minecraft:pink_bed,162,131,79
minecraft:pink_candle,213,116,146
minecraft:pink_candle_cake,200,141,128
minecraft:pink_carpet,238,141,172
minecraft:pink_concrete,214,101,143
minecraft:pink_concrete_powder,229,153,181
