block_name,r,g,b
minecraft:brain_coral_wall_fan,203,84,154
minecraft:brewing_stand,128,117,112
minecraft:brick_slab,151,98,83
minecraft:brick_stairs,151,98,83
minecraft:brick_wall,151,96,82
minecraft:bricks,151,98,83
minecraft:brown_banner,162,131,79
minecraft:brown_bed,139,88,51
minecraft:brown_candle,107,66,36
minecraft:brown_candle_cake,246,223,214
minecraft:brown_carpet,114,72,41
minecraft:brown_concrete,96,60,32
minecraft:brown_concrete_powder,126,85,54
minecraft:brown_glazed_terracotta,120,106,86
minecraft:brown_mushroom,154,117,92
minecraft:brown_mushroom_block,175,141,101
minecraft:brown_shulker_box,106,66,36
minecraft:brown_stained_glass,102,76,51
minecraft:brown_stained_glass_pane,98,74,48
minecraft:brown_terracotta,77,51,36
minecraft:brown_wall_banner,162,131,79
minecraft:brown_wool,114,72,41
minecraft:bubble_column,44,82,158
minecraft:bubble_coral,161,24,160
minecraft:bubble_coral_block,165,26,162
minecraft:bubble_coral_fan,162,34,161
minecraft:bubble_coral_wall_fan,160,33,159
minecraft:budding_amethyst,132,96,187
minecraft:bush,120,121,120
minecraft:cactus,86,127,43
minecraft:cactus_flower,210,121,135
minecraft:cake,248,223,214
minecraft:calcite,223,224,221
minecraft:calibrated_sculk_sensor,28,79,101
minecraft:campfire,107,87,59
minecraft:candle,240,202,152
minecraft:candle_cake,248,225,216
minecraft:carrots,45,110,40
minecraft:cartography_table,103,87,67
minecraft:carved_pumpkin,198,119,24
minecraft:cauldron,57,56,59
minecraft:cave_vines,90,109,41
minecraft:cave_vines_plant,88,102,38
minecraft:chain,51,58,74
minecraft:chain_command_block,131,161,148
minecraft:cherry_button,225,178,172
minecraft:cherry_door,225,174,167
minecraft:cherry_fence,225,177,171
minecraft:cherry_fence_gate,223,172,167
minecraft:cherry_hanging_sign,214,143,147
minecraft:cherry_leaves,229,173,194
minecraft:cherry_log,55,33,44
minecraft:cherry_planks,227,179,173
minecraft:cherry_pressure_plate,227,180,174
minecraft:cherry_sapling,164,118,143
minecraft:cherry_shelf,215,146,150
minecraft:cherry_sign,224,170,164
minecraft:cherry_slab,227,179,173
minecraft:cherry_stairs,227,179,173
minecraft:cherry_trapdoor,226,179,172
minecraft:cherry_wall_hanging_sign,179,128,136
minecraft:cherry_wall_sign,224,170,164
minecraft:cherry_wood,55,33,44
minecraft:chest,162,131,79
minecraft:chipped_anvil,72,72,72
minecraft:chiseled_bookshelf,178,145,89
minecraft:chiseled_cinnabar,147,55,55
minecraft:chiseled_copper,184,101,74
minecraft:chiseled_deepslate,54,54,55
minecraft:chiseled_nether_bricks,46,23,27
minecraft:chiseled_polished_blackstone,54,49,57
minecraft:chiseled_quartz_block,232,227,217
minecraft:chiseled_red_sandstone,181,98,31
minecraft:chiseled_resin_bricks,201,84,25
minecraft:chiseled_sandstone,224,214,170
minecraft:chiseled_stone_bricks,120,119,120
minecraft:chiseled_sulfur,187,170,91
minecraft:chiseled_tuff,94,99,91
minecraft:chiseled_tuff_bricks,111,114,107
minecraft:chorus_flower,154,124,154
minecraft:chorus_plant,94,57,94
minecraft:cinnabar,152,83,78
minecraft:cinnabar_brick_slab,148,56,54
minecraft:cinnabar_brick_stairs,148,56,54
minecraft:cinnabar_brick_wall,153,58,56
minecraft:cinnabar_bricks,148,56,54
minecraft:cinnabar_slab,152,83,78
minecraft:cinnabar_stairs,152,83,78
minecraft:cinnabar_wall,155,84,80
minecraft:clay,161,166,179
minecraft:closed_eyeblossom,108,98,101
minecraft:coal_block,16,16,16
minecraft:coal_ore,106,106,105
minecraft:coarse_dirt,119,86,59
minecraft:cobbled_deepslate,77,77,81
minecraft:cobbled_deepslate_slab,77,77,81
minecraft:cobbled_deepslate_stairs,77,77,81
minecraft:cobbled_deepslate_wall,75,75,78
minecraft:cobblestone,128,127,128
minecraft:cobblestone_slab,128,127,128
minecraft:cobblestone_stairs,128,127,128
minecraft:cobblestone_wall,127,127,127
minecraft:cobweb,229,233,234
minecraft:cocoa,123,124,57
minecraft:command_block,177,134,108
minecraft:comparator,164,159,157
minecraft:composter,132,96,54
minecraft:conduit,160,140,113
minecraft:copper_bars,156,81,55
minecraft:copper_block,192,108,80
minecraft:copper_bulb,156,87,57
minecraft:copper_chain,152,79,55
minecraft:copper_chest,192,108,80
minecraft:copper_door,186,106,80
minecraft:copper_golem_statue,192,108,80
minecraft:copper_grate,192,108,79
minecraft:copper_lantern,169,91,64
minecraft:copper_ore,125,126,120
minecraft:copper_torch,146,200,149
minecraft:copper_trapdoor,191,106,80
minecraft:copper_wall_torch,162,192,166
minecraft:cornflower,80,121,147
minecraft:cracked_deepslate_bricks,65,65,65
minecraft:cracked_deepslate_tiles,53,53,53
minecraft:cracked_nether_bricks,40,20,24
minecraft:cracked_polished_blackstone_bricks,44,38,44
minecraft:cracked_stone_bricks,118,118,118
minecraft:crafter,112,99,100
minecraft:crafting_table,120,73,42
minecraft:creaking_heart,153,84,45
minecraft:creeper_head,81,62,51
minecraft:creeper_wall_head,81,62,51
minecraft:crimson_button,102,49,71
minecraft:crimson_door,115,55,79
minecraft:crimson_fence,101,49,70
minecraft:crimson_fence_gate,97,46,67
minecraft:crimson_fungus,141,44,30
minecraft:crimson_hanging_sign,135,56,87
minecraft:crimson_hyphae,93,26,30
minecraft:crimson_nylium,131,31,31
minecraft:crimson_planks,101,49,71
minecraft:crimson_pressure_plate,102,49,71
minecraft:crimson_roots,126,8,42
minecraft:crimson_shelf,137,57,90
minecraft:crimson_sign,102,50,72
minecraft:crimson_slab,101,49,71
minecraft:crimson_stairs,101,49,71
minecraft:crimson_stem,113,50,70
minecraft:crimson_trapdoor,104,51,72
minecraft:crimson_wall_hanging_sign,119,62,92
minecraft:crimson_wall_sign,102,50,72
minecraft:crying_obsidian,33,10,60
minecraft:cut_copper,191,107,81
minecraft:cut_copper_slab,191,107,81
minecraft:cut_copper_stairs,191,107,81
minecraft:cut_red_sandstone,181,98,31
minecraft:cut_red_sandstone_slab,181,98,31
minecraft:cut_sandstone,224,214,170
minecraft:cut_sandstone_slab,224,214,170
minecraft:cyan_banner,162,131,79
minecraft:cyan_bed,18,155,154
minecraft:cyan_candle,16,120,120
minecraft:cyan_candle_cake,244,224,215
minecraft:cyan_carpet,21,138,145
minecraft:cyan_concrete,21,119,136
minecraft:cyan_concrete_powder,37,148,157
minecraft:cyan_glazed_terracotta,52,119,125
minecraft:cyan_shulker_box,20,121,135
minecraft:cyan_stained_glass,76,127,153
minecraft:cyan_stained_glass_pane,74,123,147
minecraft:cyan_terracotta,87,91,91
minecraft:cyan_wall_banner,162,131,79
minecraft:cyan_wool,21,138,145
minecraft:damaged_anvil,72,72,72
minecraft:dandelion,148,172,43
minecraft:dark_oak_button,67,43,20
minecraft:dark_oak_door,75,50,25
minecraft:dark_oak_fence,66,43,20
minecraft:dark_oak_fence_gate,63,41,19
minecraft:dark_oak_hanging_sign,70,55,35
minecraft:dark_oak_leaves,70,101,28
minecraft:dark_oak_log,68,45,22
minecraft:dark_oak_planks,67,43,20
minecraft:dark_oak_pressure_plate,67,44,20
minecraft:dark_oak_sapling,61,91,31
minecraft:dark_oak_shelf,73,57,36
minecraft:dark_oak_sign,56,36,17
minecraft:dark_oak_slab,67,43,20
minecraft:dark_oak_stairs,67,43,20
minecraft:dark_oak_trapdoor,75,50,23
minecraft:dark_oak_wall_hanging_sign,73,63,52
minecraft:dark_oak_wall_sign,56,36,17
minecraft:dark_oak_wood,60,47,26
minecraft:dark_prismarine,52,92,76
minecraft:dark_prismarine_slab,52,92,76
minecraft:dark_prismarine_stairs,52,92,76
minecraft:daylight_detector,131,116,95
minecraft:dead_brain_coral,134,125,121
minecraft:dead_brain_coral_block,124,118,114
minecraft:dead_brain_coral_fan,134,126,122
minecraft:dead_brain_coral_wall_fan,133,125,121
minecraft:dead_bubble_coral,133,125,121
minecraft:dead_bubble_coral_block,132,124,119
minecraft:dead_bubble_coral_fan,142,136,131
minecraft:dead_bubble_coral_wall_fan,141,135,130
minecraft:dead_bush,107,79,41
minecraft:dead_fire_coral,137,128,124
minecraft:dead_fire_coral_block,132,124,120
minecraft:dead_fire_coral_fan,124,118,114
minecraft:dead_fire_coral_wall_fan,125,118,115
minecraft:dead_horn_coral,143,135,130
minecraft:dead_horn_coral_block,134,126,122
minecraft:dead_horn_coral_fan,135,127,122
minecraft:dead_horn_coral_wall_fan,134,126,121
minecraft:dead_tube_coral,118,111,108
minecraft:dead_tube_coral_block,130,123,120
minecraft:dead_tube_coral_fan,129,122,119
minecraft:dead_tube_coral_wall_fan,128,122,118
minecraft:decorated_pot,152,94,68
minecraft:deepslate,87,87,89
minecraft:deepslate_brick_slab,71,71,71
minecraft:deepslate_brick_stairs,71,71,71
minecraft:deepslate_brick_wall,75,75,75
minecraft:deepslate_bricks,71,71,71
minecraft:deepslate_coal_ore,74,74,76
minecraft:deepslate_copper_ore,92,93,89
minecraft:deepslate_diamond_ore,83,106,107
minecraft:deepslate_emerald_ore,78,104,88
minecraft:deepslate_gold_ore,115,103,78
minecraft:deepslate_iron_ore,107,100,95
minecraft:deepslate_lapis_ore,80,91,115
minecraft:deepslate_redstone_ore,105,73,75
minecraft:deepslate_tile_slab,55,55,55
minecraft:deepslate_tile_stairs,55,55,55
minecraft:deepslate_tile_wall,60,60,60
minecraft:deepslate_tiles,55,55,55
minecraft:detector_rail,123,105,90
minecraft:diamond_block,98,237,228
minecraft:diamond_ore,121,141,141
minecraft:diorite,189,188,189
minecraft:diorite_slab,189,188,189
minecraft:diorite_stairs,189,188,189
minecraft:diorite_wall,188,188,189
minecraft:dirt,134,96,67
minecraft:dirt_path,148,122,65
minecraft:dispenser,99,98,98
minecraft:dragon_egg,13,9,17
minecraft:dragon_head,81,62,51
minecraft:dragon_wall_head,81,62,51
minecraft:dried_ghast,153,141,141
minecraft:dried_kelp_block,50,59,39
minecraft:dripstone_block,134,108,93
minecraft:dropper,98,97,97
minecraft:emerald_block,42,203,88
minecraft:emerald_ore,108,136,116
minecraft:enchanting_table,129,75,85
minecraft:end_gateway,15,11,25
minecraft:end_portal,15,11,25
minecraft:end_portal_frame,91,121,97
minecraft:end_rod,167,156,148
minecraft:end_stone,220,223,158
minecraft:end_stone_brick_slab,218,224,162
minecraft:end_stone_brick_stairs,218,224,162
minecraft:end_stone_brick_wall,222,229,166
minecraft:end_stone_bricks,218,224,162
minecraft:ender_chest,15,11,25
minecraft:exposed_chiseled_copper,155,119,101
minecraft:exposed_copper,161,126,104
minecraft:exposed_copper_bars,134,107,89
minecraft:exposed_copper_bulb,135,108,90
minecraft:exposed_copper_chain,126,102,84
minecraft:exposed_copper_chest,161,126,104
minecraft:exposed_copper_door,158,120,103
minecraft:exposed_copper_golem_statue,161,126,104
minecraft:exposed_copper_grate,162,126,105
minecraft:exposed_copper_lantern,158,118,100
minecraft:exposed_copper_trapdoor,161,125,105
minecraft:exposed_cut_copper,155,122,101
minecraft:exposed_cut_copper_slab,155,122,101
minecraft:exposed_cut_copper_stairs,155,122,101
minecraft:exposed_lightning_rod,186,131,118
minecraft:farmland,143,103,71
minecraft:fern,71,93,43
minecraft:fire,213,142,53
minecraft:fire_coral,167,38,47
minecraft:fire_coral_block,164,35,47
minecraft:fire_coral_fan,158,35,45
minecraft:fire_coral_wall_fan,159,35,46
minecraft:firefly_bush,89,84,44
minecraft:fletching_table,197,180,133
minecraft:flower_pot,127,79,57
minecraft:flowering_azalea,112,122,64
minecraft:flowering_azalea_leaves,100,111,61
minecraft:frogspawn,110,95,87
minecraft:frosted_ice,140,181,253
minecraft:furnace,110,110,110
minecraft:gilded_blackstone,56,43,38
minecraft:glass,176,214,219
minecraft:glass_pane,175,213,220
minecraft:glow_item_frame,164,147,104
minecraft:glow_lichen,112,131,122
minecraft:glowstone,172,131,84
minecraft:gold_block,246,208,62
minecraft:gold_ore,145,134,107
minecraft:golden_dandelion,160,102,37
minecraft:granite,149,103,86
minecraft:granite_slab,149,103,86
minecraft:granite_stairs,149,103,86
minecraft:granite_wall,148,103,86
minecraft:grass,83,107,51
minecraft:grass_block,84,109,51
minecraft:gravel,132,127,127
minecraft:gray_banner,162,131,79
minecraft:gray_bed,95,110,114
minecraft:gray_candle,78,93,94
minecraft:gray_candle_cake,245,223,215
minecraft:gray_carpet,63,68,72
minecraft:gray_concrete,55,58,62
minecraft:gray_concrete_powder,77,81,85
minecraft:gray_glazed_terracotta,83,90,94
minecraft:gray_shulker_box,55,59,62
minecraft:gray_stained_glass,76,76,76
minecraft:gray_stained_glass_pane,74,74,74
minecraft:gray_terracotta,58,42,36
minecraft:gray_wall_banner,162,131,79
minecraft:gray_wool,63,68,72
minecraft:green_banner,162,131,79
minecraft:green_bed,92,124,21
minecraft:green_candle,68,91,18
minecraft:green_candle_cake,245,223,213
minecraft:green_carpet,85,110,28
minecraft:green_concrete,73,91,36
minecraft:green_concrete_powder,97,119,45
minecraft:green_glazed_terracotta,117,142,67
minecraft:green_shulker_box,79,101,32
minecraft:green_stained_glass,102,127,51
minecraft:green_stained_glass_pane,98,123,48
minecraft:green_terracotta,76,83,42
minecraft:green_wall_banner,162,131,79
minecraft:green_wool,85,110,28
minecraft:grindstone,131,124,118
minecraft:hanging_roots,161,115,92
minecraft:hay_block,166,139,12
minecraft:heavy_core,100,105,116
minecraft:heavy_weighted_pressure_plate,229,229,229
minecraft:honey_block,241,146,18
minecraft:honeycomb_block,229,148,30
minecraft:hopper,60,59,62
minecraft:horn_coral,209,186,63
minecraft:horn_coral_block,216,200,66
minecraft:horn_coral_fan,207,184,61
minecraft:horn_coral_wall_fan,206,183,61
minecraft:ice,146,184,254
minecraft:infested_chiseled_stone_bricks,120,119,120
minecraft:infested_cobblestone,128,127,128
minecraft:infested_cracked_stone_bricks,118,118,118
minecraft:infested_deepslate,87,87,89
minecraft:infested_mossy_stone_bricks,115,121,105
minecraft:infested_stone,126,126,126
minecraft:infested_stone_bricks,122,122,122
minecraft:iron_bars,137,139,136
minecraft:iron_block,220,220,220
minecraft:iron_chain,51,58,74
minecraft:iron_door,195,194,194
minecraft:iron_ore,136,129,123
minecraft:iron_trapdoor,203,202,202
minecraft:item_frame,164,147,104
minecraft:jack_o_lantern,198,119,24
minecraft:jigsaw,45,38,47
minecraft:jukebox,94,64,47
minecraft:jungle_button,159,114,81
minecraft:jungle_door,161,116,82
minecraft:jungle_fence,159,114,80
minecraft:jungle_fence_gate,151,108,77
minecraft:jungle_hanging_sign,166,131,81
minecraft:jungle_leaves,73,104,27
minecraft:jungle_log,150,109,71
minecraft:jungle_planks,160,115,81
minecraft:jungle_pressure_plate,162,116,82
minecraft:jungle_sapling,48,81,17
minecraft:jungle_shelf,175,135,88
minecraft:jungle_sign,142,101,71
minecraft:jungle_slab,160,115,81
minecraft:jungle_stairs,160,115,81
minecraft:jungle_trapdoor,153,110,77
minecraft:jungle_wall_hanging_sign,147,118,88
minecraft:jungle_wall_sign,142,101,71
minecraft:jungle_wood,85,68,25
minecraft:kelp,88,142,45
minecraft:kelp_plant,87,131,43
minecraft:ladder,125,97,55
minecraft:lantern,67,74,93
minecraft:lapis_block,31,67,140
minecraft:lapis_ore,107,118,141
minecraft:large_amethyst_bud,161,126,203
minecraft:large_fern,75,98,46
minecraft:lava,217,105,26
minecraft:lava_cauldron,153,87,46
minecraft:leaf_litter,171,171,171
minecraft:lectern,168,126,76
minecraft:lever,121,121,121
minecraft:light,136,145,134
minecraft:light_blue_banner,162,131,79
minecraft:light_blue_bed,41,158,214
minecraft:light_blue_candle,32,137,201
minecraft:light_blue_candle_cake,244,224,217
minecraft:light_blue_carpet,58,175,217
minecraft:light_blue_concrete,36,137,199
minecraft:light_blue_concrete_powder,74,181,213
minecraft:light_blue_glazed_terracotta,95,165,209
minecraft:light_blue_shulker_box,49,164,212
minecraft:light_blue_stained_glass,102,153,216
minecraft:light_blue_stained_glass_pane,98,147,208
minecraft:light_blue_terracotta,113,109,138
minecraft:light_blue_wall_banner,162,131,79
minecraft:light_blue_wool,58,175,217
minecraft:light_gray_banner,162,131,79
minecraft:light_gray_bed,144,146,137
minecraft:light_gray_candle,116,118,108
minecraft:light_gray_candle_cake,246,224,215
minecraft:light_gray_carpet,142,142,135
minecraft:light_gray_concrete,125,125,115
minecraft:light_gray_concrete_powder,155,155,148
minecraft:light_gray_glazed_terracotta,144,166,168
minecraft:light_gray_shulker_box,124,124,115
minecraft:light_gray_stained_glass,153,153,153
minecraft:light_gray_stained_glass_pane,147,147,147
minecraft:light_gray_terracotta,135,107,98
minecraft:light_gray_wall_banner,162,131,79
minecraft:light_gray_wool,142,142,135
minecraft:light_weighted_pressure_plate,252,220,68
minecraft:lightning_rod,213,122,94
minecraft:lilac,137,124,127
minecraft:lily_of_the_valley,123,175,95
minecraft:lily_pad,17,67,25
minecraft:lime_banner,162,131,79
minecraft:lime_bed,121,194,27
minecraft:lime_candle,94,174,20
minecraft:lime_candle_cake,245,225,213
minecraft:lime_carpet,112,185,26
minecraft:lime_concrete,94,169,24
minecraft:lime_concrete_powder,125,189,42
minecraft:lime_glazed_terracotta,163,198,55
minecraft:lime_shulker_box,100,173,23
minecraft:lime_stained_glass,127,204,25
minecraft:lime_stained_glass_pane,123,196,24
minecraft:lime_terracotta,104,118,53
minecraft:lime_wall_banner,162,131,79
minecraft:lime_wool,112,185,26
minecraft:lodestone,147,149,153
minecraft:loom,142,119,92
minecraft:magenta_banner,162,131,79
minecraft:magenta_bed,185,59,175
minecraft:magenta_candle,160,42,152
minecraft:magenta_candle_cake,247,222,216
minecraft:magenta_carpet,190,69,180
minecraft:magenta_concrete,169,48,159
minecraft:magenta_concrete_powder,193,84,185
minecraft:magenta_glazed_terracotta,208,100,192
minecraft:magenta_shulker_box,174,54,164
minecraft:magenta_stained_glass,178,76,216
minecraft:magenta_stained_glass_pane,171,74,208
minecraft:magenta_terracotta,150,88,109
minecraft:magenta_wall_banner,162,131,79
minecraft:magenta_wool,190,69,180
minecraft:magma_block,142,63,31
minecraft:mangrove_button,118,54,48
minecraft:mangrove_door,113,48,47
minecraft:mangrove_fence,118,54,49
minecraft:mangrove_fence_gate,116,52,45
minecraft:mangrove_hanging_sign,120,56,48
minecraft:mangrove_leaves,61,86,24
minecraft:mangrove_log,103,49,42
minecraft:mangrove_planks,118,54,49
minecraft:mangrove_pressure_plate,118,55,49
minecraft:mangrove_propagule,96,175,84
minecraft:mangrove_roots,75,60,39
minecraft:mangrove_shelf,120,55,48
minecraft:mangrove_sign,111,48,43
minecraft:mangrove_slab,118,54,49
minecraft:mangrove_stairs,118,54,49
minecraft:mangrove_trapdoor,111,47,42
minecraft:mangrove_wall_hanging_sign,109,62,60
minecraft:mangrove_wall_sign,111,48,43
minecraft:mangrove_wood,84,67,41
minecraft:medium_amethyst_bud,158,120,202
minecraft:melon,111,145,31
minecraft:melon_stem,154,154,154
minecraft:moss_block,89,110,45
minecraft:moss_carpet,89,110,45
minecraft:mossy_cobblestone,110,118,95
minecraft:mossy_cobblestone_slab,110,118,95
minecraft:mossy_cobblestone_stairs,110,118,95
minecraft:mossy_cobblestone_wall,105,116,87
minecraft:mossy_stone_brick_slab,115,121,105
minecraft:mossy_stone_brick_stairs,115,121,105
minecraft:mossy_stone_brick_wall,118,124,108
minecraft:mossy_stone_bricks,115,121,105
minecraft:moving_piston,110,105,97
minecraft:mud,60,57,61
minecraft:mud_brick_slab,137,104,79
minecraft:mud_brick_stairs,137,104,79
minecraft:mud_brick_wall,139,105,80
minecraft:mud_bricks,137,104,79
minecraft:muddy_mangrove_roots,70,59,45
minecraft:mushroom_stem,202,183,153
minecraft:mycelium,111,99,101
minecraft:nether_brick_fence,45,22,27
minecraft:nether_brick_slab,44,22,26
minecraft:nether_brick_stairs,44,22,26
minecraft:nether_brick_wall,45,22,26
minecraft:nether_bricks,44,22,26
minecraft:nether_gold_ore,115,55,42
minecraft:nether_portal,89,12,192
minecraft:nether_quartz_ore,118,66,62
minecraft:nether_sprouts,20,151,133
minecraft:nether_wart,118,19,22
minecraft:nether_wart_block,115,3,2
minecraft:netherite_block,67,61,64
minecraft:netherrack,98,38,38
minecraft:note_block,89,59,41
minecraft:oak_button,161,130,78
minecraft:oak_door,140,109,64
minecraft:oak_fence,160,129,78
minecraft:oak_fence_gate,153,122,73
minecraft:oak_hanging_sign,170,138,81
minecraft:oak_leaves,67,97,27
minecraft:oak_log,151,122,73
minecraft:oak_planks,162,131,79
minecraft:oak_pressure_plate,164,133,80
minecraft:oak_sapling,78,107,41
minecraft:oak_shelf,177,144,86
minecraft:oak_sign,153,122,73
minecraft:oak_slab,162,131,79
minecraft:oak_stairs,162,131,79
minecraft:oak_trapdoor,125,99,57
minecraft:oak_wall_hanging_sign,151,128,88
minecraft:oak_wall_sign,153,122,73
minecraft:oak_wood,109,85,51
minecraft:observer,98,98,98
minecraft:obsidian,15,11,25
minecraft:ochre_froglight,251,245,206
minecraft:open_eyeblossom,140,126,122
minecraft:orange_banner,162,131,79
minecraft:orange_bed,250,127,22
minecraft:orange_candle,222,95,0
minecraft:orange_candle_cake,248,223,213
minecraft:orange_carpet,241,118,20
minecraft:orange_concrete,224,97,1
minecraft:orange_concrete_powder,227,132,32
minecraft:orange_glazed_terracotta,155,147,92
minecraft:orange_shulker_box,234,106,9
minecraft:orange_stained_glass,216,127,51
minecraft:orange_stained_glass_pane,208,123,48
minecraft:orange_terracotta,162,84,38
minecraft:orange_tulip,93,142,31
minecraft:orange_wall_banner,162,131,79
minecraft:orange_wool,241,118,20
minecraft:oxeye_daisy,179,202,143
minecraft:oxidized_chiseled_copper,84,162,132
minecraft:oxidized_copper,82,163,133
minecraft:oxidized_copper_bars,64,123,101
minecraft:oxidized_copper_bulb,70,132,109
minecraft:oxidized_copper_chain,62,118,99
minecraft:oxidized_copper_chest,82,163,133
minecraft:oxidized_copper_door,81,156,130
minecraft:oxidized_copper_golem_statue,82,163,133
minecraft:oxidized_copper_grate,82,161,131
minecraft:oxidized_copper_lantern,65,127,106
minecraft:oxidized_copper_trapdoor,84,161,132
minecraft:oxidized_cut_copper,80,154,126
minecraft:oxidized_cut_copper_slab,80,154,126
minecraft:oxidized_cut_copper_stairs,80,154,126
minecraft:oxidized_lightning_rod,95,182,149
minecraft:packed_ice,142,180,250
minecraft:packed_mud,142,107,80
minecraft:pale_hanging_moss,99,104,98
minecraft:pale_moss_block,107,112,105
minecraft:pale_moss_carpet,107,112,105
minecraft:pale_oak_button,228,218,217
minecraft:pale_oak_door,208,199,198
minecraft:pale_oak_fence,227,217,216
minecraft:pale_oak_fence_gate,223,213,212
minecraft:pale_oak_hanging_sign,235,224,223
minecraft:pale_oak_leaves,117,122,115
minecraft:pale_oak_log,199,189,188
minecraft:pale_oak_planks,228,218,216
minecraft:pale_oak_pressure_plate,229,219,217
minecraft:pale_oak_sapling,110,106,100
minecraft:pale_oak_shelf,245,237,236
minecraft:pale_oak_sign,223,213,212
minecraft:pale_oak_slab,228,218,216
minecraft:pale_oak_stairs,228,218,216
minecraft:pale_oak_trapdoor,230,220,219
minecraft:pale_oak_wall_hanging_sign,196,190,195
minecraft:pale_oak_wall_sign,223,213,212
minecraft:pale_oak_wood,88,78,75
minecraft:pearlescent_froglight,246,240,240
